number,profit_rate,trade_count,failed_trades,start_date,end_date,up_sell_rate,down_buy_rate,up_callback_rate,down_rebound_rate,shares_per_trade
0,2.1354822388818526,14,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.013000000000000001,0.029,0.007500000000000001,0.0065,8000
1,-1.3619019221392406,15,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 27, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.007,0.0045000000000000005,0.009000000000000001,0.0065,36000
2,-0.020641462545713044,9,"{'无持仓': 178, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0035,0.0295,0.0085,0.003,10000
3,3.5173021288409863,31,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 18, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.008,0.011,0.0055000000000000005,0.005,15000
4,0.00433824296100172,10,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 132, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0195,0.006500000000000001,0.0035,0.004,23000
5,0.14153267387412097,23,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 121, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0245,0.008,0.0055000000000000005,0.0065,3000
6,-1.5804627916190896,7,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 150, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0195,0.007500000000000001,0.0015,0.01,49000
7,0.3110570683074095,6,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 116, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.024999999999999998,0.011,0.0015,0.007500000000000001,23000
8,4.037229023519066,34,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 6, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.006,0.0165,0.001,0.009500000000000001,13000
9,0.6214914196696962,13,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 114, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.021,0.0115,0.0055000000000000005,0.006,10000
